Default Unit of Measure,Item Code,Item Group,Item Name,Maintain Stock,Opening Stock,Brand,Shelf Life In Days,End of Life,Has Expiry Date,Barcode (Barcodes),Re-order Qty (Reorder level based on Warehouse),UOM (UOMs),Default Price List (Item Defaults)
Nos,10379,اكسسوارات,10379,1,0,,0,2099-12-31,0,6947247910379,,Nos,
Nos,10430,اكسسوارات,10430,1,0,,0,2099-12-31,0,6920257910430,,Nos,
Nos,10447,اكسسوارات,10447,1,0,,0,2099-12-31,0,6920257910447,,Nos,
Nos,10485,اكسسوارات,10485,1,0,,0,2099-12-31,0,6920257910485,,Nos,
Nos,10539,اكسسوارات,10539,1,0,,0,2099-12-31,0,6920257910539,,Nos,
Nos,105392,اكسسوارات,105392,1,0,,0,2099-12-31,0,8998866105392,,Nos,
Nos,10540,اكسسوارات,10540,1,0,,0,2099-12-31,0,5395173310540,,Nos,
Nos,10584,اكسسوارات,10584,1,0,,0,2099-12-31,0,6920257910584,,Nos,
Nos,10591,اكسسوارات,10591,1,0,,0,2099-12-31,0,6920257910591,,Nos,
Nos,10607,اكسسوارات,10607,1,0,,0,2099-12-31,0,6920257910607,,Nos,
Nos,10683,اكسسوارات,10683,1,0,,0,2099-12-31,0,6920257910683,,Nos,
Nos,10922,اكسسوارات,10922,1,0,,0,2099-12-31,0,6979077910922,,Nos,
Nos,10966,اكسسوارات,10966,1,0,,0,2099-12-31,0,6920257910966,,Nos,
Nos,109800,اكسسوارات,109800,1,0,,0,2099-12-31,0,6958376109800,,Nos,
Nos,11013,اكسسوارات,11013,1,0,,0,2099-12-31,0,11011013,,Nos,
Nos,11024,اكسسوارات,11024,1,0,,0,2099-12-31,0,6920257911024,,Nos,
Nos,11031,اكسسوارات,11031,1,0,,0,2099-12-31,0,6920257911031,,Nos,
Nos,11083,اكسسوارات,11083,1,0,,0,2099-12-31,0,3337872411083,,Nos,
Nos,1110,اكسسوارات,1110,1,0,,0,2099-12-31,0,10011101110,,Nos,
Nos,11111,اكسسوارات,11111,1,0,,0,2099-12-31,0,4000111111,,Nos,
Nos,1111111111,اكسسوارات,محمد,1,0,,0,2099-12-31,0,1111111111111111111111,,Nos,
Nos,113360,اكسسوارات,ربطة جبين عريض 10 موديل 9/3/7,1,0,,0,2099-12-31,0,6985765322168,,Nos,
Nos,113371,اكسسوارات,طقم كلبس مع ربطه 10 موديل 2/3,1,0,,0,2099-12-31,0,6920251133712,,Nos,
Nos,113388,اكسسوارات,طوق بندانه 11 موديل 5/8,1,0,,0,2099-12-31,0,6985632932148,,Nos,
Nos,113391,اكسسوارات,ربطة شتوي 2 حبة كرت عدد 4 اشكال 1/3,1,0,,0,2099-12-31,0,6923654822139,,Nos,
Nos,1161,اكسسوارات,باكت مزيل مناكير,1,0,,0,2099-12-31,0,6946051201161,,Nos,
Nos,11672,اكسسوارات,11672,1,0,,0,2099-12-31,0,6942257011672,,Nos,
Nos,1187,اكسسوارات,حامورة سحري,1,0,,0,2099-12-31,0,6972196671187,,Nos,
Nos,1193,اكسسوارات,هامات رأس بناتي,1,0,,0,2099-12-31,0,61193,,Nos,
Nos,1198,اكسسوارات,1198,1,0,,0,2099-12-31,0,6971606511983,,Nos,
Nos,1198A,اكسسوارات,1198A,1,0,,0,2099-12-31,0,6971606210169,,Nos,
Nos,11991,اكسسوارات,11991,1,0,,0,2099-12-31,0,3337872411991,,Nos,
Nos,1200B,اكسسوارات,1200B,1,0,,0,2099-12-31,0,6971606512003,,Nos,
Nos,12121,اكسسوارات,12121,1,0,,0,2099-12-31,0,4000212121,,Nos,
Nos,12121,اكسسوارات,12121,1,0,,0,2099-12-31,0,5000212121,,Nos,
Nos,12130,اكسسوارات,12130,1,0,,0,2099-12-31,0,12130130,,Nos,
Nos,12456987541180,اكسسوارات,ستن ليكر موديل,0,0,,0,2099-12-31,0,3944985096139,,Nos,
Nos,125486255552,اكسسوارات,125486255552,1,0,,0,2099-12-31,0,12548625555211,,Nos,
Nos,12861,اكسسوارات,12861,1,0,,0,2099-12-31,0,9248915212861,,Nos,
Nos,13131,اكسسوارات,13131,1,0,,0,2099-12-31,0,4000313131,,Nos,
Nos,13316,اكسسوارات,13316,1,0,,0,2099-12-31,0,6905624813316,,Nos,
Nos,13352,اكسسوارات,13352,1,0,,0,2099-12-31,0,6973390713352,,Nos,
Nos,138459,اكسسوارات,تيجان,1,0,,0,2099-12-31,0,1344907138459,,Nos,
Nos,138667,اكسسوارات,مطاط برميل جامبو 5 شكل شد 10د 1/4,1,0,,0,2099-12-31,0,6935356575015,,Nos,
Nos,138796,اكسسوارات,مطاط 12 كرت كيس 10 اشكال 7/6/8,1,0,,0,2099-12-31,0,6912345138796,,Nos,
Nos,140140,اكسسوارات,140140,1,0,,0,2099-12-31,0,140140140,,Nos,
Nos,14141,اكسسوارات,14141,1,0,,0,2099-12-31,0,4000414141,,Nos,
Nos,1415,اكسسوارات,1415,1,0,,0,2099-12-31,0,4000196901415,,Nos,
Nos,14958,اكسسوارات,14958,1,0,,0,2099-12-31,0,6912191214958,,Nos,
Nos,1498,اكسسوارات,9200396114638,1,0,,0,2099-12-31,0,9200396114638,,Nos,
Nos,15086,اكسسوارات,15086,1,0,,0,2099-12-31,0,9242092015086,,Nos,
Nos,15151,اكسسوارات,15151,1,0,,0,2099-12-31,0,4000515151,,Nos,
Nos,154237,اكسسوارات,مساك فراشة حبه كبير 6 حبة صغير كرت 8 شكل,1,0,,0,2099-12-31,0,8652369924101,,Nos,
Nos,154392,اكسسوارات,154392,1,0,,0,2099-12-31,0,6930381543923,,Nos,
Nos,154395,اكسسوارات,154395,1,0,,0,2099-12-31,0,6930381543954,,Nos,
Nos,15496,اكسسوارات,15496,1,0,,0,2099-12-31,0,6974482515496,,Nos,
Nos,1585,اكسسوارات,8652369925085,1,0,,0,2099-12-31,0,8652369925085,,Nos,
Nos,1594,اكسسوارات,6920251542682,1,0,,0,2099-12-31,0,6920251542682,,Nos,
Nos,161770,اكسسوارات,طقم طوق مع كلبس فيونكه 11 موديل 3,1,0,,0,2099-12-31,0,6920255311819,,Nos,
Nos,161792,اكسسوارات,طقم نظارة مع كلبس عدد 8 اشكال 6/1,1,0,,0,2099-12-31,0,6935929871018,,Nos,
