Item Code,Item Name,Raw Barcode,Clean Barcode,Changed
18223,18223,6912341618223,6912341618223,0
18380,18380,2025001618380,2025001618380,0
1872,1872,4800888221872,4800888221872,0
191004,191004,769915191004,769915191004,0
201842,201842,3152200201842,3152200201842,0
2020,2020,4000202020,4000202020,0
202020,202020,5000202020,5000202020,0
202209,اقلام روج ميس ديم 2309,6913134202209,6913134202209,0
20243,باكت رموش طبيعي,6978941520243,6978941520243,0
20812,20812,8809700320812,8809700320812,0
20841,20841,6907240320841,6907240320841,0
20956,20956,6973911220956,6973911220956,0
2121,خواتم مع المحبس رزكون,212121,212121,0
21212,21212,4000121212,4000121212,0
21590,21590,721590,721590,0
221B,221B,6971606202218,6971606202218,0
22338,22338,3353728522338,3353728522338,0
2244,2244,9005800352244,9005800352244,0
22878,اساور رجالي نسائي,8991283322878,8991283322878,0
23019,23019,6920138823019,6920138823019,0
23026,23026,6920138823026,6920138823026,0
233233,233233,111233233,111233233,0
23454,23454,6932025123454,6932025123454,0
24025,24025,6937803924025,6937803924025,0
244244,244244,111244244,111244244,0
24513,24513,3600531324513,3600531324513,0
24611,24611,072140024611,072140024611,0
25092,25092,8652369925092,8652369925092,0
25146,25146,8652369925146,8652369925146,0
2520,2520,6882169872520,6882169872520,0
25351,25351,5632467125351,5632467125351,0
25560,علب سحاب مربع وسط,150055625560,150055625560,0
25561,علب سحاب مربع كبير,150055625561,150055625561,0
25562,علب سحاب اساور طويل,150055625562,150055625562,0
25563,علب اساور طويل,150055625563,150055625563,0
25564,علب خواتم مربع,150055625564,150055625564,0
25565,علب خواتم قطيفة,150055625565,150055625565,0
25566,علب طقوم وسط,150055625566,150055625566,0
26-2862,26-2862,28622862,28622862,0
26-5569,26-5569,55695569,55695569,0
26-AF8808,26-AF8808,88088808,88088808,0
26-SDR-211,26-SDR-211,SDR211211,SDR211211,0
263,263,6933885500263,6933885500263,0
26411,26411,6287015126411,6287015126411,0
26677,كريم ستافيل,072140026677,072140026677,0
2676,2676,011111022676,011111022676,0
27066,27066,303160227066,303160227066,0
272B,272B,1801025620025,1801025620025,0
28568,28568,6925832828568,6925832828568,0
28860,28860,6291108528860,6291108528860,0
3,cheese burger,735745699119,735745699119,0
3007546,3007546,8904023007546,8904023007546,0
30148,30148,8901248230148,8901248230148,0
3045,3045,6940791023045,6940791023045,0
30706,30706,725272730706,725272730706,0
30782,بوش مجموعة,6939374130782,6939374130782,0
309808,309808,7295322309808,7295322309808,0
309934,309934,6972907309934,6972907309934,0
3113,3113,100113113,100113113,0
31313,31313,4000131313,4000131313,0
31545,سلوس بناتي دمعة,5456531545,5456531545,0
31569,تيجان بناتي,6905001131569,6905001131569,0
31890,31890,6977892731890,6977892731890,0
33550,33550,8809640733550,8809640733550,0
34020,34020,6957601134020,6957601134020,0
34060,34060,769915234060,769915234060,0
34218,34218,6932021134218,6932021134218,0
3434,سلوس فايتي كليف,343434,343434,0
34919,34919,7702018334919,7702018334919,0
350590,روج  سائل 330411,6977270350590,6977270350590,0
35306,35306,6281056335306,6281056335306,0
3709,3709,3401578653709,3401578653709,0
37101,37101,6291108737101,6291108737101,0
37190,37190,8809640737190,8809640737190,0
3737,اساور مسمار,373737,373737,0
37897,37897,6291108737897,6291108737897,0
3817,3817,PB2501010203817,PB2501010203817,0
38405,38405,6291108738405,6291108738405,0
38436,38436,6291108738436,6291108738436,0
38573,38573,6291108738573,6291108738573,0
38597,38597,6291108738597,6291108738597,0
38610,38610,6291108738610,6291108738610,0
38849,38849,6291108738849,6291108738849,0
38877,38877,138877,138877,0
39068,39068,6291108739068,6291108739068,0
39523,39523,6922211339523,6922211339523,0
39570,39570,8809596939570,8809596939570,0
39615,39615,6922211339615,6922211339615,0
400101,قطب كرت نيو مارك,6906036400101,6906036400101,0
40061,40061,9551001840061,9551001840061,0
401184,401184,8310039401184,8310039401184,0
40313,40313,010181040313,010181040313,0
40358,اقلام ديموند 9244,6977925340358,6977925340358,0
40390,40390,8901248240390,8901248240390,0
40400,40400,6971335440400,6971335440400,0
40421,40421,3401348840421,3401348840421,0
40831,40831,6974479440831,6974479440831,0
4091,4091,40914091,40914091,0
4114,4114,100114114,100114114,0
4119,اسفنج مائي,4820230804119,4820230804119,0
41278,41278,3600530941278,3600530941278,0
41414,41414,4000141414,4000141414,0
41414,قطب كرز,5000141414,5000141414,0
41451,41451,6920511341451,6920511341451,0
41456,41456,052336341456,052336341456,0
43213,43213,743213,743213,0
43558,لمعه جسم فازلين,305210043558,305210043558,0
43788,43788,6920251543788,6920251543788,0
43825,43825,6920251543825,6920251543825,0
43863,43863,6920251543863,6920251543863,0
43930,43930,6930381543930,6930381543930,0
44277,44277,0376662844277,0376662844277,0
447447,كلبس كرز,447447447,447447447,0
45617,45617,7509552845617,7509552845617,0
46122,46122,6974772946122,6974772946122,0
46134,اقلام كحل عريض ابيض+ازرق,6920982846134,6920982846134,0
4646,4646,464646,464646,0
4653,4653,011111054653,011111054653,0
4705,4705,033200194705,033200194705,0
4747,4747,474747,474747,0
47535,47535,6977740247535,6977740247535,0
478021,478021,8901248478021,8901248478021,0
4848,4848,484848,484848,0
